title,price,my,make,model,body_type,battery,kw,range_km,odo
2020 MG ZS EV Essence Auto MY21,43290,2020,MG,ZS EV,SUV,AC105kW,105,263,1020
2019 Nissan LEAF ZE1 Auto,42990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,7148
2021 MG ZS EV Essence Auto MY21,42990,2021,MG,ZS EV,SUV,AC105kW,105,263,1839
2019 Renault Zoe Intens Auto,42990,2019,Renault,,Hatch,,,200,25
2020 MG ZS EV Essence Auto MY21,42990,2020,MG,ZS EV,SUV,AC105kW,105,263,25
2020 MG ZS EV Essence Auto MY21,42990,2020,MG,ZS EV,SUV,AC105kW,105,263,1500
2021 MG ZS EV Essence Auto MY21,42990,2021,MG,ZS EV,SUV,AC105kW,105,263,1607
2020 MG ZS EV Essence Auto MY21,42990,2020,MG,ZS EV,SUV,AC105kW,105,263,2155
2021 MG ZS EV Essence Auto MY21,42890,2021,MG,ZS EV,SUV,AC105kW,105,263,3110
2019 Nissan LEAF ZE1 Auto,43990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,3908
2020 MG ZS EV Essence Auto MY21,42490,2020,MG,ZS EV,SUV,AC105kW,105,263,785
2020 MG ZS EV Essence Auto MY21,44490,2020,MG,ZS EV,SUV,AC105kW,105,263,800
2020 MG ZS EV Essence Auto MY21,44990,2020,MG,ZS EV,SUV,AC105kW,105,263,13
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,3100
2020 MG ZS EV Essence Auto MY21,43990,2020,MG,ZS EV,SUV,AC105kW,105,263,535
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,1000
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,52
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,143
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,1650
2020 MG ZS EV Essence Auto MY21,44990,2020,MG,ZS EV,SUV,AC105kW,105,263,8
2020 MG ZS EV Essence Auto MY21,43490,2020,MG,ZS EV,SUV,AC105kW,105,263,580
2020 Nissan LEAF ZE1 Auto,41490,2020,Nissan,LEAF,Hatch,AC110kW,110,270,6680
2020 MG ZS EV Essence Auto MY21,41490,2020,MG,ZS EV,SUV,AC105kW,105,263,1500
2020 Nissan LEAF ZE1 Auto,43490,2020,Nissan,LEAF,Hatch,AC110kW,110,270,5286
2019 Nissan LEAF ZE1 Auto,42999,2019,Nissan,LEAF,Hatch,AC110kW,110,270,6610
2019 Nissan LEAF ZE1 Auto,42990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,4773
2020 MG ZS EV Essence Auto MY21,43990,2020,MG,ZS EV,SUV,AC105kW,105,263,237
2020 MG ZS EV Essence Auto MY21,42990,2020,MG,ZS EV,SUV,AC105kW,105,263,2513
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,22
2020 MG ZS EV Essence Auto MY21,40888,2020,MG,ZS EV,SUV,AC105kW,105,263,3041
2020 MG ZS EV Essence Auto MY21,41990,2020,MG,ZS EV,SUV,AC105kW,105,263,1635
2020 MG ZS EV Essence Auto MY21,40490,2020,MG,ZS EV,SUV,AC105kW,105,263,1421
