title,price,odometer,body,trans,engline,state,seller,state_2,odo_adj,id,seller_ad,state_ad,state_only,price_adj,body_adj,trans_ad,odo_ad,engine_ad
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jun 2021,SUV,Automatic,4cyl 2.5L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33070,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,SUV,Automatic,0,4cyl 2.5L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,988 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"SA
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33071,incorrect seller,"SA
            
            Distance from me?
        ",SA,33988,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,988 ",Build date Jul 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33072,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,988 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"SA
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33073,incorrect seller,"SA
            
            Distance from me?
        ",SA,33988,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,988 ",Build date Jun 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Hornsby Mazda
            ",date,33074,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33988,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G25 Evolve BP Series Auto,"$33,990 ",Build date Apr 2021,Hatch,Automatic,4cyl 2.5L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Central Coast Motor Group -Gosford
            ",date,33076,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33990,Hatch,Automatic,0,4cyl 2.5L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,990 ",Build date May 2021,SUV,Automatic,4cyl 2.0L Petrol,"SA
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Sutherland Mazda
            ",date,33077,incorrect seller,"SA
            
            Distance from me?
        ",SA,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,990 ",Build date Jun 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Liverpool Mazda
            ",date,33078,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33990,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,990 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"SA
            
            Distance from me?
        ","Private Seller Car

","
                NSW - John Newell Mazda
            ",date,33079,incorrect seller,"SA
            
            Distance from me?
        ",SA,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,990 ",Build date Jun 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Liverpool Mazda
            ",date,33080,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33990,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,990 ",Build date Jul 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33082,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,33990,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,990 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"","Private Seller Car

","
                NSW - Lismore Mazda
            ",date,33083,incorrect seller,"
                NSW - Lismore Mazda
            ",NSW,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,990 ",Build date Jun 2021,SUV,Automatic,4cyl 2.0L Petrol,"","Dealer Used Car

","
                NSW - Lismore Mazda
            ",date,33084,incorrect seller,"
                NSW - Lismore Mazda
            ",NSW,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,990 ",Build date Jul 2021,Hatch,Automatic,4cyl 2.0L Petrol,"","Private Seller Car

","
                NSW - Liverpool Mazda
            ",date,33085,incorrect seller,"
                NSW - Liverpool Mazda
            ",NSW,33990,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,990 ",Build date Jun 2021,SUV,Automatic,4cyl 2.0L Petrol,"","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33086,incorrect seller,"
                NSW - Rockdale Mazda
            ",NSW,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,990 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33087,incorrect seller,"
                NSW - Rockdale Mazda
            ",NSW,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,990 ",Build date Jul 2021,Hatch,Automatic,4cyl 2.0L Petrol,"","Dealer Used Car

","
                NSW - John Newell Mazda
            ",date,33088,incorrect seller,"
                NSW - John Newell Mazda
            ",NSW,33990,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$33,990 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"","Private Seller Car

","
                NSW - Liverpool Mazda
            ",date,33089,incorrect seller,"
                NSW - Liverpool Mazda
            ",NSW,33990,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-3 sTouring DK Auto i-ACTIV AWD,"$33,990 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"","Private Seller Car

","
                NSW - John Newell Mazda
            ",date,33090,incorrect seller,"
                NSW - John Newell Mazda
            ",NSW,33990,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Pure DM Series Auto,"$33,994 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"","Dealer Used Car

","
                NSW - Sutherland Mazda
            ",date,33093,incorrect seller,"
                NSW - Sutherland Mazda
            ",NSW,33994,SUV,Automatic,0,4cyl 2.0L Petrol
